object_id,org_name,days,time_category,open_time,close_time,notes
120,Academy of St. Joseph,Mon-Fri,middle_of_day,11:10 AM,1:10 PM,
371,Ballet Tech School,Mon-Fri,middle_of_day,9:30 AM,12:30 PM,
43,Bet Yaakov Yesodot Hatorah,Mon-Thu,pick_up,10:00 AM,3:00 PM,Mon-Thu: open mid-day through pick-up window
43,Bet Yaakov Yesodot Hatorah,Fri,middle_of_day,10:00 AM,11:00 AM,Friday only: mid-day recess/PE window
372,Bright Leaders Group Family Day Care Inc.,Fri,pick_up,12:30 PM,4:00 PM,
68,Brooklyn RISE Charter School,Mon-Fri,all_day,7:00 AM,5:00 PM,
69,Brooklyn RISE Charter School,Mon-Fri,all_day,7:00 AM,5:00 PM,
358,City-As School: High School M560,Mon-Fri,pick_up,10:30 AM,3:00 PM,
135,Friends Seminary,Mon-Fri,all_day,7:30 AM,3:30 PM,
136,Friends Seminary,Mon-Fri,all_day,7:30 AM,3:30 PM,
224,Futures Ignite,"Wed, Fri",all_day,8:00 AM,5:00 PM,
219,Global Community Charter School,Mon-Fri,pick_up,10:30 AM,3:00 PM,
377,Hellenic Classical Charter Schools,Mon-Fri,all_day,8:15 AM,3:35 PM,
247,I.S.61Q Leonardo Da Vinci,Mon-Fri,all_day,7:50 AM,3:30 PM,
343,IS 117: Joseph H. Wade School,Mon-Fri,pick_up,2:00 PM,3:00 PM,
240,Leaders In Our Neighborhood Charter School,Mon-Fri,middle_of_day,11:00 AM,1:00 PM,
338,Manhattan Day School,Mon-Thu,pick_up,10:00 AM,3:45 PM,Mon-Thu: open mid-day through pick-up window
338,Manhattan Day School,Fri,middle_of_day,10:00 AM,1:45 PM,Friday only: mid-day recess/PE window
48,Mary McDowell Friends School,Mon-Fri,middle_of_day,12:30 PM,2:30 PM,
348,Middle School 390,Mon-Fri,all_day,7:30 AM,4:30 PM,
306,Middle School 88,Mon-Fri,middle_of_day,10:30 AM,1:30 PM,
355,Middle School 88,Mon-Fri,middle_of_day,10:30 AM,1:30 PM,
363,Middle School 88,Mon-Fri,middle_of_day,10:30 AM,1:30 PM,
239,Moving Up Children Center,Mon-Fri,drop_off,8:00 AM,12:00 PM,
229,Muscota New School/Amistad,Mon-Fri,middle_of_day,10:00 AM,1:30 PM,
319,NYC DoE - Community Health Academy of the Heights,Mon-Fri,middle_of_day,11:30 AM,2:00 PM,
320,NYCDOE Mosaic 3K/Pre-k Center 24Q331 @ Q364,"Wed, Fri",drop_off,8:30 AM,11:30 AM,
132,NYCDOE/Washington Irving Educational Campus,Mon-Fri,all_day,7:00 AM,4:30 PM,
133,NYCDOE/Washington Irving Educational Campus,Mon-Fri,all_day,7:00 AM,4:30 PM,
213,Our World Neighborhood Charter School,Mon-Fri,middle_of_day,10:00 AM,1:15 PM,
231,P.S. 012 James B. Colgate,Mon-Fri,drop_off,7:30 AM,2:30 PM,
254,P.S. 120 Queens,Mon-Fri,drop_off,8:30 AM,1:45 PM,
318,P.S. 176 The Cambria Heights School,Mon-Fri,all_day,7:30 AM,3:00 PM,
322,P.S. 28Q The Thomas Emanuel Early Childhood Center,Mon-Fri,all_day,7:00 AM,3:00 PM,
243,P.S. 32 The Belmont School,Tue,all_day,8:00 AM,4:00 PM,
252,P.S. 83 The Donald Hertz School,Mon-Fri,middle_of_day,10:00 AM,2:00 PM,
54,Peck Slip School,Mon-Fri,all_day,7:30 AM,4:00 PM,
330,PS 109 Sedgwick School,Mon,all_day,7:30 AM,4:30 PM,
307,PS 118,Mon-Fri,all_day,7:30 AM,4:30 PM,
250,PS 129,Mon-Fri,all_day,7:30 AM,4:30 PM,Tuesday close time corrected from 4:30 (clerical error) to 16:30; treated as all_day
211,PS 134Q: Langston Hughes School,Mon-Fri,middle_of_day,10:00 AM,2:00 PM,
350,PS 146 Brooklyn New School,Mon-Fri,all_day,7:30 AM,3:00 PM,
70,PS 152,Mon-Fri,pick_up,9:00 AM,5:00 PM,
44,PS 169 Sunset Park School,"Mon, Thu, Fri",middle_of_day,9:30 AM,2:00 PM,
34,PS 170K The Ralph A. Fabrizio School,Mon-Fri,pick_up,2:30 PM,3:00 PM,
342,PS 28 Mount Hope,Fri,middle_of_day,10:00 AM,2:00 PM,
178,PS 290 The Manhattan New School,Mon-Fri,all_day,8:00 AM,3:00 PM,
321,PS 330Q Helen M. Marshall,Mon-Fri,drop_off,7:15 AM,2:30 PM,
339,"PS 421M West Prep Academy, NYCPS",Mon-Fri,all_day,8:00 AM,3:00 PM,
123,PS 42M The Benjamin Altman School,Mon-Fri,all_day,7:45 AM,2:45 PM,
1,PS 5,Mon-Fri,all_day,7:30 AM,3:00 PM,
223,PS 528 Bea Fuller Rogers School,Mon-Fri,middle_of_day,10:00 AM,1:30 PM,
242,PS 59 Community School of Technology,Mon,all_day,7:30 AM,4:30 PM,
347,PS 64M Robert Simon School,Mon-Fri,middle_of_day,10:00 AM,1:00 PM,
61,PS 8 The Emily Warren Roebling School,Mon-Fri,pick_up,9:15 AM,3:00 PM,
222,PS/MS 5 Port Morris School of Community Leadership,Mon-Fri,all_day,8:00 AM,4:00 PM,
323,PS143Q The Louis Armstrong Elementary School,Mon-Fri,drop_off,7:55 AM,2:30 PM,
248,PS14Q Fairview School,Mon-Fri,all_day,7:30 AM,3:15 PM,
249,PS14Q Fairview School,Mon-Fri,all_day,7:30 AM,3:15 PM,
253,PS201 Q,Mon-Fri,all_day,7:30 AM,5:30 PM,
107,PS3 Charrette School,Mon-Fri,all_day,8:00 AM,3:30 PM,
360,PS3 Charrette School,Mon-Fri,all_day,8:00 AM,3:30 PM,
236,PS89Q: The Jose Peralta School of Dreamers (24Q089),Mon-Fri,drop_off,7:45 AM,2:10 PM,
237,PS89Q: The Jose Peralta School of Dreamers (24Q089),Mon-Fri,drop_off,7:45 AM,2:10 PM,
238,PS89Q: The Jose Peralta School of Dreamers (24Q089),Mon-Fri,drop_off,7:45 AM,2:10 PM,
201,Public School 273Q,Mon-Fri,middle_of_day,11:00 AM,1:45 PM,
245,Public School 363 (10X363/APLE),Mon-Fri,all_day,7:30 AM,4:30 PM,
193,Riverdale Avenue Community School,Fri,all_day,7:30 AM,4:30 PM,
337,Saint David's School,Mon-Fri,middle_of_day,10:00 AM,2:00 PM,
77,Saint Saviour Catholic Academy,Mon-Fri,middle_of_day,11:45 AM,1:30 PM,
230,School in the Square,"Mon, Tue, Fri",middle_of_day,10:00 AM,1:00 PM,
353,The École,Mon-Fri,middle_of_day,9:30 AM,2:00 PM,
312,The Allen-Stevenson School,Mon-Fri,all_day,7:30 AM,3:30 PM,
311,The Buckley School,Mon-Fri,middle_of_day,9:00 AM,2:00 PM,
313,The Dalton School,Mon-Fri,middle_of_day,10:30 AM,2:00 PM,
366,The Dock Street School for STEAM Studies,Mon-Fri,middle_of_day,11:15 AM,12:45 PM,
177,The Nightingale Bamford School,Mon-Fri,middle_of_day,9:00 AM,2:30 PM,
217,The Young Women's Leadership School of Astoria,Mon-Fri,all_day,7:30 AM,4:30 PM,
218,The Young Women's Leadership School of Astoria,Mon-Fri,middle_of_day,10:00 AM,2:30 PM,
331,Thomas A. Edison CTE High School,Mon-Fri,all_day,7:30 AM,4:30 PM,
